Programmatic Name,Velocity Register
evt_comp_prsHigh1A,4669
st_comp_prsHighEnable1A,4670
st_comp_prsHighType1A,4671
evt_comp_prsHigh1B,4672
st_comp_prsHighEnable1B,4673
st_comp_prsHighType1B,4674
evt_comp_prsHigh2A,4675
st_comp_prsHighEnable2A,4676
st_comp_prsHighType2A,4677
evt_comp_prsHigh2B,4678
st_comp_prsHighEnable2B,4679
st_comp_prsHighType2B,4680
evt_comp_shortCycle1A,4681
st_comp_shortCycleEnable1A,4682
st_comp_shortCycleType1A,4683
evt_comp_shortCycle1B,4684
st_comp_shortCycleEnable1B,4685
st_comp_shortCycleType1B,4686
evt_comp_shortCycle2A,4687
st_comp_shortCycleEnable2A,4688
st_comp_shortCycleType2A,4689
evt_comp_shortCycle2B,4690
st_comp_shortCycleEnable2B,4691
st_comp_shortCycleType2B,4692
evt_comp_prsTandemLow1,4693
st_comp_prsTandemLowEnable1,4694
st_comp_prsTandemLowType1,4695
evt_comp_prsTandemLow2,4696
st_comp_prsTandemLowEnable2,4697
st_comp_prsTandemLowType2,4698
val_valv_pct_posHotGas1,4699
val_valv_pct_posHotGas2,4700
st_valv_posHotGasSolenoid1,4701
st_valv_posHotGasSolenoid2,4702
evt_valv_CWPosition,4703
st_valv_CWPositionEnable,4704
st_valv_CWPositionType,4705
st_sys_operating,4706
st_sys_controlMode,4707
val_clng_pct_output,4708
val_ext_tmp_airMinSetPt,4709
val_sys_tm_autoRestart,4710
evt_sys_condensDetect,4711
st_sys_condensDetectEnable,4712
st_sys_condensDetectType,4713
evt_sys_shutdownPwrLoss,4714
st_sys_shutdownPwrLossEnable,4715
st_sys_shutdownPwrLossType,4716
st_sys_eventAckReset,4717
st_ext_inpContactEnable01,4718
st_ext_inpContactType01,4719
evt_sys_smokeDetected,4720
st_sys_smokeDetectedEnable,4721
st_sys_smokeDetectedType,4722
evt_sys_waterUnderFloor,4723
st_sys_waterUnderFloorEnable,4724
st_sys_waterUnderFloorType,4725
